,#,Name,Title,Fed,Rating,B-Year,date
15,16,"Aronian, Levon",GM,USA,2738,1982,2024-10
16,17,"Vachier-Lagrave, Maxime",GM,FRA,2735,1990,2024-10
17,18,"Mamedyarov, Shakhriyar",GM,AZE,2733,1985,2024-10
18,19,"Niemann, Hans Moke",GM,USA,2733,2003,2024-10
19,20,"Giri, Anish",GM,NED,2728,1994,2024-10
20,21,"Ding, Liren",GM,CHN,2728,1992,2024-10
21,22,"Vidit, Santosh Gujrathi",GM,IND,2726,1994,2024-10
22,23,"Rapport, Richard",GM,HUN,2721,1996,2024-10
23,24,"Keymer, Vincent",GM,GER,2721,2004,2024-10
24,25,"Maghsoodloo, Parham",GM,IRI,2719,2000,2024-10
25,26,"Sarana, Alexey",GM,SRB,2717,2000,2024-10
26,27,"Yu, Yangyi",GM,CHN,2717,1994,2024-10
27,28,"Wang, Hao",GM,CHN,2703,1989,2024-10
28,29,"Tabatabaei, M. Amin",GM,IRI,2702,2001,2024-10
29,30,"Artemiev, Vladislav",GM,RUS,2701,1998,2024-10
30,31,"Radjabov, Teimour",GM,AZE,2700,1987,2024-10
31,32,"Fedoseev, Vladimir",GM,SLO,2698,1995,2024-10
32,33,"Aravindh, Chithambaram VR.",GM,IND,2698,1999,2024-10
33,34,"Svidler, Peter",GM,FID,2698,1976,2024-10
34,35,"Van Foreest, Jorden",GM,NED,2697,1999,2024-10
35,36,"Robson, Ray",GM,USA,2693,1994,2024-10
36,37,"Dubov, Daniil",GM,RUS,2693,1996,2024-10
37,38,"Deac, Bogdan-Daniel",GM,ROU,2691,2001,2024-10
38,39,"Bu, Xiangzhi",GM,CHN,2690,1985,2024-10
39,40,"Grischuk, Alexander",GM,RUS,2689,1983,2024-10
40,41,"Sevian, Samuel",GM,USA,2689,2000,2024-10
41,42,"Harikrishna, Pentala",GM,IND,2688,1986,2024-10
42,43,"Kasimdzhanov, Rustam",GM,UZB,2685,1979,2024-10
43,44,"Navara, David",GM,CZE,2683,1985,2024-10
44,45,"Tomashevsky, Evgeny",GM,RUS,2681,1987,2024-10
45,46,"Alekseenko, Kirill",GM,AUT,2679,1997,2024-10
46,47,"Predke, Alexandr",GM,SRB,2677,1994,2024-10
47,48,"Liang, Awonder",GM,USA,2677,2003,2024-10
48,49,"Shankland, Sam",GM,USA,2677,1991,2024-10
49,50,"Esipenko, Andrey",GM,FID,2677,2002,2024-10
50,51,"Martirosyan, Haik M.",GM,ARM,2676,2000,2024-10
51,52,"Wojtaszek, Radoslaw",GM,POL,2673,1987,2024-10
52,53,"Howell, David W L",GM,ENG,2673,1990,2024-10
53,54,"Saric, Ivan",GM,CRO,2673,1990,2024-10
54,55,"Eljanov, Pavel",GM,UKR,2672,1983,2024-10
55,56,"Sindarov, Javokhir",GM,UZB,2668,2005,2024-10
56,57,"Vokhidov, Shamsiddin",GM,UZB,2668,2002,2024-10
57,58,Nihal Sarin,GM,IND,2668,2004,2024-10
58,59,"Anton Guijarro, David",GM,ESP,2667,1995,2024-10
59,60,"Vitiugov, Nikita",GM,ENG,2667,1987,2024-10
60,61,"Leko, Peter",GM,HUN,2666,1979,2024-10
61,62,"Nguyen, Thai Dai Van",GM,CZE,2663,2001,2024-10
62,63,"Adams, Michael",GM,ENG,2662,1971,2024-10
63,64,"Oparin, Grigoriy",GM,USA,2662,1997,2024-10
64,65,"Korobov, Anton",GM,UKR,2660,1985,2024-10
65,66,"Sadhwani, Raunak",GM,IND,2659,2005,2024-10
66,67,"Bacrot, Etienne",GM,FRA,2658,1983,2024-10
67,68,"Gelfand, Boris",GM,ISR,2658,1968,2024-10
68,69,"Shevchenko, Kirill",GM,ROU,2656,2002,2024-10
69,70,"Sargsyan, Shant",GM,ARM,2655,2002,2024-10
70,71,"Svane, Frederik",GM,GER,2655,2004,2024-10
71,72,"Ponomariov, Ruslan",GM,UKR,2655,1983,2024-10
72,73,"Shirov, Alexei",GM,ESP,2655,1972,2024-10
73,74,"Morozevich, Alexander",GM,RUS,2655,1977,2024-10
74,75,"Yakubboev, Nodirbek",GM,UZB,2654,2002,2024-10
75,76,"Warmerdam, Max",GM,NED,2653,2000,2024-10
76,77,"Vallejo Pons, Francisco",GM,ESP,2653,1982,2024-10
77,78,"Christiansen, Johan-Sebastian",GM,NOR,2650,1998,2024-10
78,79,"Grandelius, Nils",GM,SWE,2650,1993,2024-10
79,80,"Bjerre, Jonas Buhl",GM,DEN,2650,2004,2024-10
80,81,"Inarkiev, Ernesto",GM,RUS,2650,1985,2024-10
81,82,"Ni, Hua",GM,CHN,2649,1983,2024-10
82,83,"Volokitin, Andrei",GM,UKR,2648,1986,2024-10
83,84,"Murzin, Volodar",GM,FID,2648,2006,2024-10
84,85,"Kollars, Dmitrij",GM,GER,2647,1999,2024-10
85,86,"Nguyen, Ngoc Truong Son",GM,VIE,2646,1990,2024-10
86,87,"Bluebaum, Matthias",GM,GER,2646,1997,2024-10
87,88,"Xiong, Jeffery",GM,USA,2646,2000,2024-10
88,89,"Pichot, Alan",GM,ESP,2644,1998,2024-10
89,90,"Mamedov, Rauf",GM,AZE,2643,1988,2024-10
90,91,"Kryvoruchko, Yuriy",GM,UKR,2643,1986,2024-10
91,92,"Malakhov, Vladimir",GM,FID,2642,1980,2024-10
92,93,"Sargissian, Gabriel",GM,ARM,2640,1983,2024-10
93,94,"Wang, Yue",GM,CHN,2640,1987,2024-10
94,95,Narayanan S L,GM,IND,2640,1998,2024-10
95,96,"Gledura, Benjamin",GM,HUN,2639,1999,2024-10
96,97,"Jones, Gawain C B",GM,ENG,2639,1987,2024-10
97,98,"Puranik, Abhimanyu",GM,IND,2639,2000,2024-10
98,99,"Ma, Qun",GM,CHN,2638,1991,2024-10
99,100,"Najer, Evgeniy",GM,FID,2637,1977,2024-10
0,1,"Carlsen, Magnus",GM,NOR,2831,1990,2024-11
1,2,"Caruana, Fabiano",GM,USA,2805,1992,2024-11
2,3,"Nakamura, Hikaru",GM,USA,2802,1987,2024-11
3,4,Erigaisi Arjun,GM,IND,2799,2003,2024-11
4,5,Gukesh D,GM,IND,2783,2006,2024-11
5,6,"Abdusattorov, Nodirbek",GM,UZB,2777,2004,2024-11
6,7,"Firouzja, Alireza",GM,FRA,2763,2003,2024-11
7,8,"Nepomniachtchi, Ian",GM,RUS,2755,1990,2024-11
8,9,"Wei, Yi",GM,CHN,2753,1999,2024-11
9,10,"Anand, Viswanathan",GM,IND,2750,1969,2024-11
10,11,"So, Wesley",GM,USA,2747,1993,2024-11
11,12,"Dominguez Perez, Leinier",GM,USA,2741,1983,2024-11
12,13,"Duda, Jan-Krzysztof",GM,POL,2740,1998,2024-11
13,14,"Aronian, Levon",GM,USA,2739,1982,2024-11
14,15,"Vidit, Santosh Gujrathi",GM,IND,2739,1994,2024-11
15,16,"Le, Quang Liem",GM,VIE,2739,1991,2024-11
16,17,"Mamedyarov, Shakhriyar",GM,AZE,2738,1985,2024-11
17,18,Praggnanandhaa R,GM,IND,2737,2005,2024-11
18,19,"Vachier-Lagrave, Maxime",GM,FRA,2737,1990,2024-11
19,20,"Niemann, Hans Moke",GM,USA,2734,2003,2024-11
20,21,"Keymer, Vincent",GM,GER,2733,2004,2024-11
21,22,"Giri, Anish",GM,NED,2733,1994,2024-11
22,23,"Ding, Liren",GM,CHN,2728,1992,2024-11
23,24,"Yu, Yangyi",GM,CHN,2724,1994,2024-11
24,25,"Rapport, Richard",GM,HUN,2721,1996,2024-11
25,26,"Topalov, Veselin",GM,BUL,2717,1975,2024-11
26,27,"Fedoseev, Vladimir",GM,SLO,2712,1995,2024-11
27,28,"Maghsoodloo, Parham",GM,IRI,2712,2000,2024-11
28,29,"Aravindh, Chithambaram VR.",GM,IND,2706,1999,2024-11
29,30,"Wang, Hao",GM,CHN,2703,1989,2024-11
30,31,"Artemiev, Vladislav",GM,RUS,2701,1998,2024-11
31,32,"Robson, Ray",GM,USA,2700,1994,2024-11
32,33,"Radjabov, Teimour",GM,AZE,2698,1987,2024-11
33,34,"Svidler, Peter",GM,FID,2698,1976,2024-11
34,35,"Sevian, Samuel",GM,USA,2696,2000,2024-11
35,36,"Andreikin, Dmitry",GM,FID,2695,1990,2024-11
36,37,"Harikrishna, Pentala",GM,IND,2695,1986,2024-11
37,38,"Dubov, Daniil",GM,RUS,2693,1996,2024-11
38,39,"Grischuk, Alexander",GM,RUS,2689,1983,2024-11
39,40,"Deac, Bogdan-Daniel",GM,ROU,2687,2001,2024-11
40,41,"Van Foreest, Jorden",GM,NED,2687,1999,2024-11
41,42,"Liang, Awonder",GM,USA,2687,2003,2024-11
42,43,"Tabatabaei, M. Amin",GM,IRI,2686,2001,2024-11
43,44,"Kasimdzhanov, Rustam",GM,UZB,2685,1979,2024-11
44,45,"Bu, Xiangzhi",GM,CHN,2684,1985,2024-11
45,46,"Sindarov, Javokhir",GM,UZB,2682,2005,2024-11
46,47,"Esipenko, Andrey",GM,FID,2682,2002,2024-11
47,48,"Vokhidov, Shamsiddin",GM,UZB,2681,2002,2024-11
48,49,"Sarana, Alexey",GM,SRB,2679,2000,2024-11
49,50,"Sadhwani, Raunak",GM,IND,2677,2005,2024-11
50,51,Nihal Sarin,GM,IND,2676,2004,2024-11
51,52,"Martirosyan, Haik M.",GM,ARM,2676,2000,2024-11
52,53,"Navara, David",GM,CZE,2674,1985,2024-11
53,54,"Alekseenko, Kirill",GM,AUT,2673,1997,2024-11
54,55,"Howell, David W L",GM,ENG,2673,1990,2024-11
55,56,"Eljanov, Pavel",GM,UKR,2672,1983,2024-11
56,57,"Shankland, Sam",GM,USA,2672,1991,2024-11
57,58,"Anton Guijarro, David",GM,ESP,2671,1995,2024-11
58,59,"Nguyen, Thai Dai Van",GM,CZE,2670,2001,2024-11
59,60,"Saric, Ivan",GM,CRO,2668,1990,2024-11
60,61,"Vitiugov, Nikita",GM,ENG,2668,1987,2024-11
61,62,"Yakubboev, Nodirbek",GM,UZB,2668,2002,2024-11
62,63,"Leko, Peter",GM,HUN,2666,1979,2024-11
63,64,"Murzin, Volodar",GM,FID,2664,2006,2024-11
64,65,"Adams, Michael",GM,ENG,2662,1971,2024-11
65,66,"Christiansen, Johan-Sebastian",GM,NOR,2661,1998,2024-11
66,67,"Wojtaszek, Radoslaw",GM,POL,2658,1987,2024-11
67,68,"Gelfand, Boris",GM,ISR,2657,1968,2024-11
68,69,"Sargsyan, Shant",GM,ARM,2655,2002,2024-11
69,70,"Morozevich, Alexander",GM,RUS,2655,1977,2024-11
70,71,"Bluebaum, Matthias",GM,GER,2654,1997,2024-11
71,72,"Svane, Frederik",GM,GER,2654,2004,2024-11
72,73,"Bjerre, Jonas Buhl",GM,DEN,2654,2004,2024-11
73,74,"Oparin, Grigoriy",GM,USA,2653,1997,2024-11
74,75,"Shevchenko, Kirill",GM,ROU,2653,2002,2024-11
75,76,"Ponomariov, Ruslan",GM,UKR,2653,1983,2024-11
76,77,"Bacrot, Etienne",GM,FRA,2653,1983,2024-11
77,78,"Warmerdam, Max",GM,NED,2653,2000,2024-11
78,79,"Puranik, Abhimanyu",GM,IND,2652,2000,2024-11
79,80,"Predke, Alexandr",GM,SRB,2652,1994,2024-11
80,81,"Gledura, Benjamin",GM,HUN,2652,1999,2024-11
81,82,"Mamedov, Rauf",GM,AZE,2651,1988,2024-11
82,83,"Inarkiev, Ernesto",GM,RUS,2650,1985,2024-11
83,84,"Volokitin, Andrei",GM,UKR,2649,1986,2024-11
84,85,"Pichot, Alan",GM,ESP,2649,1998,2024-11
85,86,"Sjugirov, Sanan",GM,HUN,2649,1993,2024-11
86,87,"Ni, Hua",GM,CHN,2649,1983,2024-11
87,88,Narayanan S L,GM,IND,2647,1998,2024-11
88,89,"Amin, Bassem",GM,EGY,2647,1988,2024-11
89,90,"Shirov, Alexei",GM,ESP,2646,1972,2024-11
90,91,"Nguyen, Ngoc Truong Son",GM,VIE,2646,1990,2024-11
91,92,"Grandelius, Nils",GM,SWE,2645,1993,2024-11
92,93,"Malakhov, Vladimir",GM,FID,2642,1980,2024-11
93,94,"Kollars, Dmitrij",GM,GER,2641,1999,2024-11
94,95,"Ivanchuk, Vasyl",GM,UKR,2640,1969,2024-11
95,96,"Wang, Yue",GM,CHN,2640,1987,2024-11
96,97,"Sargissian, Gabriel",GM,ARM,2640,1983,2024-11
97,98,"Jones, Gawain C B",GM,ENG,2639,1987,2024-11
98,99,"Vallejo Pons, Francisco",GM,ESP,2638,1982,2024-11
99,100,"Ma, Qun",GM,CHN,2638,1991,2024-11
0,1,"Carlsen, Magnus",GM,NOR,2831,1990,2024-12
1,2,"Caruana, Fabiano",GM,USA,2805,1992,2024-12
2,3,"Nakamura, Hikaru",GM,USA,2802,1987,2024-12
3,4,Erigaisi Arjun,GM,IND,2801,2003,2024-12
4,5,Gukesh D,GM,IND,2783,2006,2024-12
5,6,"Abdusattorov, Nodirbek",GM,UZB,2777,2004,2024-12
6,7,"Firouzja, Alireza",GM,FRA,2763,2003,2024-12
7,8,"Nepomniachtchi, Ian",GM,RUS,2755,1990,2024-12
8,9,"Wei, Yi",GM,CHN,2753,1999,2024-12
9,10,"Anand, Viswanathan",GM,IND,2750,1969,2024-12
10,11,"Aronian, Levon",GM,USA,2747,1982,2024-12
11,12,"So, Wesley",GM,USA,2747,1993,2024-12
12,13,"Dominguez Perez, Leinier",GM,USA,2741,1983,2024-12
13,14,"Duda, Jan-Krzysztof",GM,POL,2740,1998,2024-12
14,15,"Le, Quang Liem",GM,VIE,2739,1991,2024-12
15,16,"Mamedyarov, Shakhriyar",GM,AZE,2738,1985,2024-12
16,17,Praggnanandhaa R,GM,IND,2737,2005,2024-12
17,18,"Niemann, Hans Moke",GM,USA,2734,2003,2024-12
18,19,"Giri, Anish",GM,NED,2733,1994,2024-12
19,20,"Keymer, Vincent",GM,GER,2733,2004,2024-12
20,21,"Vachier-Lagrave, Maxime",GM,FRA,2731,1990,2024-12
21,22,"Ding, Liren",GM,CHN,2728,1992,2024-12
22,23,"Vidit, Santosh Gujrathi",GM,IND,2727,1994,2024-12
23,24,"Yu, Yangyi",GM,CHN,2724,1994,2024-12
24,25,"Rapport, Richard",GM,HUN,2721,1996,2024-12
25,26,"Aravindh, Chithambaram VR.",GM,IND,2718,1999,2024-12
26,27,"Topalov, Veselin",GM,BUL,2717,1975,2024-12
27,28,"Fedoseev, Vladimir",GM,SLO,2709,1995,2024-12
28,29,"Maghsoodloo, Parham",GM,IRI,2703,2000,2024-12
29,30,"Wang, Hao",GM,CHN,2703,1989,2024-12
30,31,"Artemiev, Vladislav",GM,RUS,2701,1998,2024-12
31,32,"Robson, Ray",GM,USA,2700,1994,2024-12
32,33,"Radjabov, Teimour",GM,AZE,2698,1987,2024-12
33,34,"Svidler, Peter",GM,FID,2698,1976,2024-12
34,35,"Deac, Bogdan-Daniel",GM,ROU,2696,2001,2024-12
35,36,"Sevian, Samuel",GM,USA,2696,2000,2024-12
36,37,"Tabatabaei, M. Amin",GM,IRI,2695,2001,2024-12
37,38,"Andreikin, Dmitry",GM,FID,2695,1990,2024-12
38,39,"Harikrishna, Pentala",GM,IND,2695,1986,2024-12
39,40,"Dubov, Daniil",GM,RUS,2693,1996,2024-12
40,41,"Grischuk, Alexander",GM,RUS,2689,1983,2024-12
41,42,"Liang, Awonder",GM,USA,2687,2003,2024-12
42,43,"Kasimdzhanov, Rustam",GM,UZB,2685,1979,2024-12
43,44,"Bu, Xiangzhi",GM,CHN,2684,1985,2024-12
44,45,"Esipenko, Andrey",GM,FID,2682,2002,2024-12
45,46,"Sindarov, Javokhir",GM,UZB,2682,2005,2024-12
46,47,"Vokhidov, Shamsiddin",GM,UZB,2681,2002,2024-12
47,48,"Van Foreest, Jorden",GM,NED,2677,1999,2024-12
48,49,Nihal Sarin,GM,IND,2676,2004,2024-12
49,50,"Sarana, Alexey",GM,SRB,2674,2000,2024-12
50,51,"Sadhwani, Raunak",GM,IND,2673,2005,2024-12
51,52,"Anton Guijarro, David",GM,ESP,2673,1995,2024-12
52,53,"Nguyen, Thai Dai Van",GM,CZE,2673,2001,2024-12
53,54,"Alekseenko, Kirill",GM,AUT,2673,1997,2024-12
54,55,"Howell, David W L",GM,ENG,2673,1990,2024-12
55,56,"Shankland, Sam",GM,USA,2672,1991,2024-12
56,57,"Saric, Ivan",GM,CRO,2669,1990,2024-12
57,58,"Svane, Frederik",GM,GER,2668,2004,2024-12
58,59,"Vitiugov, Nikita",GM,ENG,2668,1987,2024-12
59,60,"Yakubboev, Nodirbek",GM,UZB,2668,2002,2024-12
60,61,"Eljanov, Pavel",GM,UKR,2667,1983,2024-12
61,62,"Leko, Peter",GM,HUN,2666,1979,2024-12
62,63,"Navara, David",GM,CZE,2665,1985,2024-12
63,64,"Murzin, Volodar",GM,FID,2664,2006,2024-12
64,65,"Adams, Michael",GM,ENG,2662,1971,2024-12
65,66,"Christiansen, Johan-Sebastian",GM,NOR,2661,1998,2024-12
66,67,"Wojtaszek, Radoslaw",GM,POL,2658,1987,2024-12
67,68,"Gelfand, Boris",GM,ISR,2657,1968,2024-12
68,69,"Mamedov, Rauf",GM,AZE,2656,1988,2024-12
69,70,"Martirosyan, Haik M.",GM,ARM,2656,2000,2024-12
70,71,"Morozevich, Alexander",GM,RUS,2655,1977,2024-12
71,72,"Gledura, Benjamin",GM,HUN,2653,1999,2024-12
72,73,"Shevchenko, Kirill",GM,ROU,2653,2002,2024-12
73,74,"Oparin, Grigoriy",GM,USA,2653,1997,2024-12
74,75,"Amin, Bassem",GM,EGY,2652,1988,2024-12
75,76,"Bluebaum, Matthias",GM,GER,2650,1997,2024-12
76,77,"Inarkiev, Ernesto",GM,RUS,2650,1985,2024-12
77,78,"Ni, Hua",GM,CHN,2649,1983,2024-12
78,79,"Volokitin, Andrei",GM,UKR,2649,1986,2024-12
79,80,"Indjic, Aleksandar",GM,SRB,2647,1995,2024-12
80,81,"Shirov, Alexei",GM,ESP,2647,1972,2024-12
81,82,Narayanan S L,GM,IND,2647,1998,2024-12
82,83,"Sjugirov, Sanan",GM,HUN,2646,1993,2024-12
83,84,"Sargsyan, Shant",GM,ARM,2646,2002,2024-12
84,85,"Cheparinov, Ivan",GM,BUL,2646,1986,2024-12
85,86,"Puranik, Abhimanyu",GM,IND,2646,2000,2024-12
86,87,"Nguyen, Ngoc Truong Son",GM,VIE,2646,1990,2024-12
87,88,"Bacrot, Etienne",GM,FRA,2645,1983,2024-12
88,89,"Warmerdam, Max",GM,NED,2643,2000,2024-12
89,90,"Bjerre, Jonas Buhl",GM,DEN,2642,2004,2024-12
90,91,"Mendonca, Leon Luke",GM,IND,2642,2006,2024-12
91,92,"Malakhov, Vladimir",GM,FID,2642,1980,2024-12
92,93,"Grandelius, Nils",GM,SWE,2641,1993,2024-12
93,94,"Yuffa, Daniil",GM,ESP,2640,1997,2024-12
94,95,"Wang, Yue",GM,CHN,2640,1987,2024-12
95,96,"Dardha, Daniel",GM,BEL,2639,2005,2024-12
96,97,"Jones, Gawain C B",GM,ENG,2639,1987,2024-12
97,98,"Kollars, Dmitrij",GM,GER,2638,1999,2024-12
98,99,"Ma, Qun",GM,CHN,2638,1991,2024-12
99,100,"Vallejo Pons, Francisco",GM,ESP,2638,1982,2024-12
